Region;Comuna;Codigo comuna;Fecha;Clave;Casos Diarios;Casos Acumulados;Muertes;Casos Activos;Recuperados;Recuperados Diarios;Día;Fallecidos Diarios;on-off;Max Día;Poblacion
Valparaíso;Algarrobo;5602;43918;560243918;5;5;0;5;0;0;1;0;START;79;15174.0 
Valparaíso;Algarrobo;5602;43919;560243919;0;5;0;5;0;0;2;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43920;560243920;2;7;0;7;0;0;3;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43921;560243921;0;7;0;7;0;0;4;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43922;560243922;2;9;0;9;0;0;5;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43923;560243923;0;9;0;4;5;5;6;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43924;560243924;0;9;0;4;5;0;7;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43925;560243925;0;9;0;2;7;2;8;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43926;560243926;0;9;0;2;7;0;9;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43927;560243927;0;9;0;0;9;2;10;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43928;560243928;0;9;0;0;9;0;11;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43929;560243929;0;9;1;0;9;0;12;1;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43930;560243930;0;9;1;0;9;0;13;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43931;560243931;0;9;1;0;9;0;14;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43932;560243932;0;9;1;0;9;0;15;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43933;560243933;0;9;1;0;9;0;16;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43934;560243934;0;9;1;0;9;0;17;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43935;560243935;0;9;1;0;9;0;18;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43936;560243936;0;9;1;0;9;0;19;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43937;560243937;0;9;1;0;9;0;20;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43938;560243938;0;9;1;0;9;0;21;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43939;560243939;0;9;1;0;9;0;22;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43940;560243940;0;9;1;0;9;0;23;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43941;560243941;0;9;1;0;9;0;24;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43942;560243942;0;9;1;0;9;0;25;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43943;560243943;0;9;1;0;9;0;26;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43944;560243944;0;9;1;0;9;0;27;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43945;560243945;0;9;1;0;9;0;28;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43946;560243946;0;9;1;0;9;0;29;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43947;560243947;1;10;1;0;9;0;30;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43948;560243948;0;10;1;0;9;0;31;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43949;560243949;0;10;1;0;9;0;32;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43950;560243950;0;10;1;0;9;0;33;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43951;560243951;0;10;1;0;9;0;34;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43952;560243952;0;10;1;0;10;1;35;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43953;560243953;0;10;1;0;10;0;36;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43954;560243954;0;10;1;0;10;0;37;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43955;560243955;0;10;1;0;10;0;38;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43956;560243956;0;10;1;0;10;0;39;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43957;560243957;0;10;1;0;10;0;40;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43958;560243958;2;12;1;1;10;0;41;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43959;560243959;0;12;1;1;10;0;42;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43960;560243960;2;14;2;2;10;0;43;1;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43961;560243961;0;14;2;2;10;0;44;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43962;560243962;0;14;2;2;10;0;45;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43963;560243963;0;14;2;0;12;2;46;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43964;560243964;3;17;2;3;12;0;47;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43965;560243965;2;19;2;3;14;2;48;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43966;560243966;0;19;2;3;14;0;49;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43967;560243967;3;22;2;6;14;0;50;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43968;560243968;0;22;2;6;14;0;51;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43969;560243969;0;22;2;3;17;3;52;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43970;560243970;1;23;2;2;19;2;53;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43971;560243971;3;26;2;5;19;0;54;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43972;560243972;0;26;2;2;22;3;55;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43973;560243973;4;30;2;6;22;0;56;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43974;560243974;0;30;2;6;22;0;57;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43975;560243975;1;31;3;5;23;1;58;1;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43976;560243976;0;31;3;2;26;3;59;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43977;560243977;2;33;3;4;26;0;60;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43978;560243978;0;33;3;0;30;4;61;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43979;560243979;0;33;3;0;30;0;62;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43980;560243980;0;33;3;0;31;1;63;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43981;560243981;2;35;3;1;31;0;64;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43982;560243982;0;35;3;0;33;2;65;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43983;560243983;3;38;3;2;33;0;66;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43984;560243984;5;43;3;7;33;0;67;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43985;560243985;0;43;3;7;33;0;68;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43986;560243986;0;43;3;5;35;2;69;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43987;560243987;1;44;3;6;35;0;70;0;ON;79;15174.0 
Valparaíso;Algarrobo;5602;43988;560243988;2;46;3;5;38;3;71;0;ON;79;15174.0 
